str1,str2,date1,int1,float1,date2,str5,str6,str3,int2,float2,str4
HHHzjsisZDo,032c5rUW,2003-10-25,-19,0.827,1977-06-11,,,EcQVpaND,93,-0.108,HHH
CCD4w98SYT,032VDiF7,1984-05-22,-81,-6.697,2000-05-02,,,uJqbkoYx,-42,8.022,CCD
AAAZQOi1yyn,0358oL6P,1959-05-10,-61,4.196,2011-03-01,,,2QM6moeP,-39,-8.024,AAA
FFj7i3Mpgv,035wvUoG,1959-03-26,-22,4.102,1957-09-10,,,i56vRYI2,93,-7.089,FFj
CCHyuP6ucJ,036f5hQO,2016-06-09,89,-2.078,1959-09-27,,,EDwpDoIv,-54,6.551,CCH
KKyEXvhP8O,036vDBq1,1964-05-11,2,-4.012,1962-01-08,,,gobYDaEY,12,1.836,KKy
HHHcHqqKnSj,039Upc7b,1972-03-28,-78,6.189,1983-02-06,,,5PAysLmz,66,-0.332,HHH
KKDnnZQ7cj,03ATqGJR,2013-11-10,-57,2.136,1978-02-08,,,TD2hgfVz,28,9.096,KKD
CCn01mo3Kz,03bE1nK4,1957-03-08,-85,-8.085,1999-11-28,,,PmI5ct51,96,8.008,CCn
AAAILMYcs8z,03FP5O9h,1959-07-02,69,1.156,2016-07-30,,,vc3CAIrr,42,-7.964,AAA
HHHghNqqorS,03hNP8oB,1951-01-20,-64,7.87,1997-02-11,,,pzuoCUQY,84,3.306,HHH
CCbB0fjioO,03IDIcIg,1951-12-03,73,0.545,2013-07-18,,,6LFSBP0q,-10,0.816,CCb
LLLGoNxJQqI,03jRUU0m,1960-09-12,47,-8.017,1996-11-22,,,LaK9iT5z,-39,-6.107,LLL
DDDD4gepfeXW,03klDjA4,1978-08-14,-34,-1.919,2012-03-11,,,WcZqQ9jo,91,1.101,DDD
BBBWQS6GBWg,03L1m5Ru,1984-01-22,79,-1.236,1960-08-09,,,v1DTQGED,52,3.071,BBB
FF7NCaS5VO,03lc7258,2009-07-07,-92,-3.684,1986-07-14,,,BLW7Rp5l,48,-7.834,FF7
DDDDujX7afgF,03mQW9W5,2006-01-24,-35,-6.525,1979-02-06,,,0Mi7yvja,-74,-4.738,DDD
CCKKuf1Uj1,03QLIDjr,2004-05-23,-62,-5.097,1967-12-06,,,IZNzF3Lp,-92,4.273,CCK
LLLkAEV2Xbj,03r3nIlp,1963-06-15,-32,-7.01,1997-10-07,,,8ZYpHyEy,78,-5.785,LLL
LLLF1I4Z5ms,03w8Zicq,1953-07-07,-78,-7.34,1971-12-03,,,AMVsEGQL,-41,7.445,LLL
CCNQTSyZBq,03z0wICo,2012-08-07,8,3.171,1997-10-29,,,CsIjwkBZ,-45,-3.764,CCN
GGsMSjzWra,03ZLX9ww,2015-12-07,-80,-9.542,1974-08-16,,,qKQMLNfT,-59,9.998,GGs
LLL0sWahApI,046swZsy,1976-03-16,-41,-4.629,1984-02-25,,,PupOZRg1,11,0.607,LLL
HHHmDFWzU9X,048wnCy7,1956-04-12,18,3.524,1990-10-14,,,yiibqbwU,-28,-1.709,HHH
DDDDah6rRhRf,04fLSlZ4,1992-07-11,53,4.436,1956-04-24,,,x05tOcCC,76,2.878,DDD
HHHiQI4XtkQ,04FQAyDV,1954-01-07,21,5.878,1984-07-09,,,YEEHazQl,-72,-1.556,HHH
GGCOqfkKzz,04hHXzoV,2014-06-24,82,9.679,2005-03-03,,,kWpTpWbv,-65,8.566,GGC
GGGGDPKnIW,04HYgZtx,1951-07-17,14,9.994,2005-04-14,,,CE5ULaZl,-57,-6.046,GGG
LLLioWXMl4h,04I1hS4Y,1956-09-30,65,-6.165,2010-09-27,,,mX1FVU6T,-26,-8.997,LLL
FFwnz8BNtb,04k1tXNi,1982-01-18,73,-7.368,1994-01-14,,,qEaUQPjX,-23,-1.556,FFw
GGKrXnpfE3,04LIhosO,1956-06-12,-77,4.9,2010-02-11,,,sugAgn83,31,2.519,GGK
LLL2n9uNbv7,04MGUnyl,2004-03-19,59,-4.352,1971-04-06,,,3PKtZLL3,-8,5.567,LLL
HHH4xvof0yU,04oCWncy,1975-03-11,-65,-0.133,2008-07-25,,,GJTVKDAt,41,0.721,HHH
FFAPvH6rEp,04p678i5,1983-08-15,-41,4.876,1978-07-05,,,K4Yow8G2,22,-8.816,FFA
AAAC2MZ58iF,04uapT58,1972-09-29,11,3.325,1968-10-29,,,EbGKiVIy,48,-4.128,AAA
DDDDItrFAM1D,04X1VXaM,2000-02-27,63,-7.043,1978-10-23,,,ZD3h4hV4,-78,-5.161,DDD
FFtYfkFmMb,04Z9y9tf,1965-08-02,-2,7.781,2001-08-28,,,rRbbSqa4,46,-3.005,FFt
GGS0kn5qHp,050XTfKl,1994-09-25,78,3.183,1969-07-12,,,xtsxQAvA,-78,4.312,GGS
AAAAjvzOT9e,052C9pCa,1955-09-24,-62,8.923,1957-12-17,,,QLPIZahL,53,-3.944,AAA
LLLR9Ea1m5Z,052kf6jy,1975-04-06,-86,7.02,1952-03-30,,,H6gOKQT5,80,3.047,LLL
CCzrklMKOM,056xk3fG,1978-12-10,84,-2.096,1965-09-15,,,uAyiKaYz,52,-3.781,CCz
EEEoMv4COrG,05EPwQ0c,1963-03-15,65,-7.613,1979-05-23,,,784OUArG,-99,1.105,EEE
LLLFam70SgV,05FaMyuN,1974-05-13,79,7.508,2002-09-20,,,mFtmJ992,-1,-5.992,LLL
EEElJ7vjcFi,05k1IK2p,2012-07-09,-81,0.792,2009-07-09,,,ibpzPkD1,-82,2.148,EEE
CCuLSqmre4,05kja1sB,2006-02-20,-53,6.506,1964-12-16,,,aDGXznH0,-5,5.712,CCu
KKgqPxCF9t,05oYxVw0,2005-10-04,-27,2.283,2002-04-09,,,lGPiIZlf,84,-1.638,KKg
EEE9kAbGae4,05XDZiY6,1983-02-19,65,7.31,2013-11-30,,,JaGRJlaL,36,-7.912,EEE
FF0mHZyApY,05XR2TFJ,2010-06-09,8,-5.327,2003-06-12,,,cyEuqwbt,-53,3.056,FF0
CCOsMhOUVQ,05ZWanKM,1958-12-01,-23,-3.242,2010-07-27,,,2nAxQl4y,4,-5.643,CCO
HHHoycXhxUq,061LTTmN,2011-01-21,-9,8.76,2011-05-10,,,YmZHE357,-25,-4.161,HHH
HHHOcykVOsx,063xH1Zk,1968-06-11,66,9.387,1977-06-15,,,aqG9jgXQ,-12,9.364,HHH
CCwSvk9CYX,0650gzFB,1968-04-27,74,5.143,2011-05-25,,,x1SPHHm1,10,8.154,CCw
EEEQFumcnwu,066FE8jx,1987-09-24,6,-0.509,2012-07-14,,,YLWmkQt9,-71,8.924,EEE
DDDDvZqeZg4R,066PH8u1,1970-12-17,2,6.993,1988-12-29,,,KO6NFGzn,22,8.71,DDD
LLL7oJCBoHt,069269zs,1965-07-03,98,-9.97,1964-03-04,,,SRc7N4rW,100,-2.889,LLL
CChizuY0gj,06eBoriO,1989-03-11,75,4.105,1996-04-10,,,j1Q47cSE,53,3.925,CCh
GGuw2hOvEE,06EZ4wQE,1970-12-24,13,-4.837,1955-10-09,,,EUYTRiDz,-51,-7.087,GGu
HHHWFNwq7Aw,06fXFbZq,1958-04-18,-80,1.012,1979-03-27,,,lcl7GpMN,-10,-2.36,HHH
CCZQQgWQLH,06i1a7g1,1989-09-05,-38,-2.931,2001-09-25,,,L2OmBK1a,6,-3.766,CCZ
HHHH9gwf2M1,06Ym33XS,2008-12-21,57,-5.163,1992-08-21,,,RZb3QGnm,98,-1.352,HHH
FFJ8prZlqw,06J7hjw5,1987-04-14,-15,6.442,1996-09-17,,,0RNXS6mI,68,-7.31,FFJ
FFjnJ03HbB,06NfeBLH,1982-12-27,-92,0.975,1995-10-01,,,v9twk4CP,64,-4.056,FFj
AAA6T7z363D,06sVfaAA,1978-08-24,56,-7.708,1953-11-27,,,EA5jYoQ8,48,9.279,AAA
GG3fbhHofq,06ueuCha,2013-06-23,-90,1.194,1977-06-09,,,ZIlt4e1b,59,-0.22,GG3
CC82iVRDZK,06UkVZLC,1955-07-11,92,-3.913,2007-01-27,,,RxvpIESw,-30,2.596,CC8
GGZ6lqFISz,06XGs7GL,1952-01-19,72,9.774,2002-03-12,,,wOyRSv38,-84,-9.014,GGZ
LLL7a2r3oHY,076NXcof,1976-12-02,76,3.251,2008-07-09,,,rOz3vPew,37,6.299,LLL
HHHJS1qU8oX,077elIXL,1980-01-06,95,4.147,2003-07-27,,,EvB4nmSs,-71,3.651,HHH
GGB60JE98e,077l7a8s,1993-10-12,15,-6.047,2009-05-23,,,mvCZo2NY,-71,-1.844,GGB
DDDDfw7PFa6o,07cfQC8t,1990-03-18,8,4.536,1951-07-27,,,ZaBfjC5U,36,-8.167,DDD
BBBIYDIsMfK,07ecYEIg,1956-11-19,-31,-1.267,2014-01-19,,,rSofhqgB,39,-4.137,BBB
BBBvGnAqknI,07FPav89,1995-06-02,-24,4.324,1991-03-01,,,JsuGngLO,36,0.818,BBB
KKcuT3QyND,07G1tTKC,1997-06-15,-24,-3.427,1957-08-27,,,eQfxZJuX,-100,6.616,KKc
LLLUsn3ei6i,07hA4Mnz,1957-07-27,99,-3.875,2001-07-08,,,f7IA2SxK,92,-9.353,LLL
AAAqCqJ0RJv,07LeCZws,1981-07-17,76,-5.845,1971-05-25,,,EPSeubg4,49,-3.204,AAA
EEEbOyAQ3sF,07lH28oK,1964-10-30,,9.208,2015-05-22,,,DGeWQgVD,34,-5.223,EEE
EEEbqCPoQDQ,07Nb41um,2014-07-15,68,8.262,2013-02-20,,,fnvHWa2h,-4,9.911,EEE
AAAEMsyrNSR,07rVfRot,1956-10-04,9,-0.919,1953-01-25,,,KshVWEVu,56,-1.878,AAA
HHHbDCSIKlP,07siVBy7,2014-08-21,-99,-9.5,1988-11-24,,,Jfgb0Tk8,-13,-9.466,HHH
HHHKIVrofNb,080YTEhT,1982-11-07,-11,2.763,1962-03-18,,,tqH2GY11,55,4.373,HHH
CCfkUBHbs7,082gIP2g,2004-03-31,9,-3.78,2008-03-07,,,VYq0lsXF,-24,-7.617,CCf
FFS0UGs2cz,08bWUQAf,1968-01-18,56,-7.295,1972-05-26,,,zwJsD7mk,8,-4.84,FFS
AAAWKGl84Zj,08eq1mNQ,1957-05-19,35,9.917,2004-03-09,,,4xw5Qghr,26,-2.162,AAA
GG1nW5PohI,08LU6Hte,1978-02-14,-64,-0.533,1985-02-14,,,NKbiouPv,87,9.018,GG1
BBBCO9Lr2YL,08P1OZZt,1980-01-10,-4,-3.57,1956-04-23,,,Y9m85Ryx,-25,-9.349,BBB
HHHig4H8mkt,08qFNS6k,1978-10-26,-69,-1.079,2006-12-23,,,cbZANbAz,26,-0.825,HHH
AAA0RokCW8o,08RGJtu3,1959-11-30,65,-5.749,1971-01-30,,,r38KgOBZ,100,-7.897,AAA
GGMAyBfiMc,08UK5pBU,1984-03-13,-76,4.363,1991-12-06,,,uwkwJ0KP,-13,2.685,GGM
DDDDTvcqnXVH,093RsRu0,1979-10-28,-76,-1.115,1954-02-22,,,3ihnUnND,1,-1.915,DDD
CCj7YxNuyE,097vDu4z,2014-10-11,-79,7.868,1969-07-08,,,p6En5tDP,56,-2.364,CCj
CCZqoR5rtR,09Bbbr6Q,1993-06-03,10,-1.578,1962-03-13,,,T5tOB0Zo,-84,8.391,CCZ
GGKofg6ogx,09c1lJ04,1994-07-23,-43,8.951,1972-08-12,,,hLwxMFsO,59,2.435,GGK
KKv2hhb2ZW,09R1GhiI,2002-01-15,2,4.537,1961-03-05,,,OUZJbpEf,-38,-3.193,KKv
HHHNfoAg1Bi,09StBfQo,1964-08-26,61,3.724,2014-09-28,,,PxL6HThN,-86,1.209,HHH
HHHjLTqJ4ND,09tKzpMb,1954-02-06,72,-1.836,2007-10-18,,,ypryA39Y,98,-7.195,HHH
CCxPayp106,09U7upIz,1968-09-02,28,4.262,2006-03-20,,,Df4psoNo,33,7.438,CCx
FFintJ8wya,09VAeYR9,1996-12-07,54,8.168,1968-08-11,,,5zuunIVr,88,6.837,FFi
EEEvK7PZiT1,0A0u6XoO,2003-07-26,9,-8.805,1981-09-15,,,jFLK4Aw1,-100,-7.442,EEE
FFVA0U0Rmt,0A2mLltN,2017-04-18,-47,0.409,2014-05-30,,,X4aeg2fg,-87,2.836,FFV
BBBTeVAuYxK,0a3c1bPc,1999-02-07,-74,-0.716,1951-01-25,,,utitXVsp,71,8.466,BBB
HHHhCUxP3iT,0a4JIa5E,1996-04-20,-25,-9.475,1987-10-02,,,gWF9GsuM,-94,-9.654,HHH
DDDDFvPcBz5D,0A4zTXEp,2015-09-04,-98,1.485,1958-01-26,,,ujvYAHwl,72,8.006,DDD
HHHCCiYFYJ9,0a6DjNBG,2013-02-11,19,1.147,2003-07-14,,,6nnMJ5Ei,58,9.21,HHH
FFPVRXzY3O,0a8AAct3,2000-07-12,-37,-0.282,1979-01-17,,,U1xaCyLn,32,7.269,FFP
EEES7oES0bA,0aAZcRlU,1953-06-18,67,-1.202,1970-07-18,,,280ClASn,-53,3.516,EEE
HHHKZeEKOrw,0aB9zYWM,1988-10-05,-28,-3.324,1955-05-17,,,pAKRri45,-99,-9.393,HHH
LLLCyazBNOW,0aC7Hk6J,2002-07-02,-49,1.485,1992-02-22,,,tv7It2r9,-30,-0.847,LLL
BBBWA44y6YS,0AE5wyzi,1964-10-08,51,-4.109,1983-01-29,,,JX7LGTJm,61,9.396,BBB
FFqjqJ55Ky,0AeW5qiJ,1987-12-01,-22,-9.2,1953-11-23,,,iYAWnP3b,-34,3.208,FFq
FFJZBOehxk,0afDIiVc,2005-12-08,-3,3.093,1969-02-18,,,ReTBlhiq,-80,-2.112,FFJ
GGDNvNeQqa,0aGnP1nA,2004-04-14,-44,3.152,1987-11-13,,,N3HLkHmg,72,-4.444,GGD
BBB6VVC2UmL,0aGS5zwV,1955-10-15,-69,-2.661,1956-02-05,,,aDrWe21u,-3,1.714,BBB
BBBwFDfOWQH,0aHvolUD,1991-10-14,89,,1996-06-14,,,WRKSCQMY,12,6.992,BBB
LLLs0x4oGec,0AI2xUi3,2004-03-19,37,2.093,1989-09-13,,,L4NyAcLR,8,6.266,LLL
AAAEPAQ4DJs,0aIa0PJw,1977-02-06,-69,-0.268,1957-07-05,,,D2JCR91r,42,-2.004,AAA
AAA6ErG3Us5,0AiHgoC3,1998-08-30,90,9.636,2016-06-20,,,BikW3QCb,-76,4.471,AAA
DDDDyrY0mR2o,0AiPB2au,1954-01-09,-38,6.209,2012-12-15,,,FyvCnrYg,40,-1.258,DDD
LLL1e9CF357,0alG8mlA,1965-10-16,12,-1.089,1960-05-18,,,ITjb8HzJ,-75,-0.023,LLL
HHHt7I6zEOD,0AMCoMoH,1974-04-20,-55,,1984-10-19,,,cRf3evVq,65,8.391,HHH
AAARhWLG3e9,0AmNGvMs,1952-06-19,-95,1.565,1994-03-09,,,bfsBKovh,-47,-4.437,AAA
CCQhZmYxDz,0aoIGCbO,1952-04-11,75,-3.062,1964-02-17,,,h1eWpjm5,87,-2.848,CCQ
BBBCqYyNuZm,0AOk0y9K,2010-12-13,85,-0.721,2015-07-09,,,sMMrAOr3,30,1.445,BBB
LLLRtj0bLNw,0aOMHGBe,1992-01-27,94,9.049,1999-05-26,,,slEpfs30,17,6.538,LLL
HHHBmYsTP71,0AREa8aJ,1980-09-08,85,3.42,1981-07-15,,,zblRfW5B,-55,6.224,HHH
,0ArjIhZi,2016-03-03,-85,-4.32,1964-12-06,,,TWcMpVY1,-51,2.768,
GGJLaNAGiZ,0aRRTDpV,2012-02-07,51,1.285,1964-09-28,,,G65Vw817,-7,9.327,GGJ
HHHwGgcu137,0ATSBONr,1967-03-19,-76,0.203,1970-12-14,,,9TYbn8fK,42,-7.781,HHH
EEEIlrBBcIC,0aUJ2nnr,1987-10-26,-16,7.66,2011-12-20,,,jvu2hQA5,18,-0.668,EEE
AAAoMag7fce,0AUnRzee,1962-01-10,-59,9.379,2010-06-11,,,DB9fIYy5,45,-0.595,AAA
DDDDkjFCnJ4s,0Av8WVso,1974-06-17,10,5.998,1966-09-18,,,vWAzsPaH,32,-5.225,DDD
DDDDmTvvkul3,0AWJIVvL,1953-07-08,33,2.805,1976-06-26,,,08nKNQkf,18,-2.737,DDD
FFOUFRLCn3,0Axp7hHP,2002-02-13,50,-1.626,1969-02-01,,,wcVPBzoc,51,-0.149,FFO
FF80gyNCQX,0axsjraA,2004-03-20,-82,1.069,2006-05-11,,,VJpJqvHs,29,7.314,FF8
BBB4h5b4vJS,0aZTXuni,2002-12-20,44,-2.146,1985-05-09,,,2qSrsFSk,-95,7.13,BBB
CCyPRIjIKW,0B0U2mlI,2007-08-15,-27,1.779,1998-06-21,,,33xJjfc0,-79,8.966,CCy
AAAfZg9rx3S,0B0vbxxY,1952-10-16,-34,6.467,2014-01-22,,,,-35,0.161,AAA
GG56ikm4tE,0b1WlQIi,1999-03-17,-41,-8.303,2003-06-13,,,LTvHvmQi,44,-0.404,GG5
KK8jMP9MAJ,0b2CwkXr,1963-06-19,-74,6.871,1968-01-18,,,4PPy5fyB,87,-1.494,KK8
EEEyM264CtK,0b2hIl7D,1963-08-07,83,-3.491,1967-01-10,,,khgBTzI2,-44,2.913,EEE
AAATUVCtsOD,0b4Y4uNQ,1965-03-11,-7,-1.98,1998-11-01,,,wL8ITTcI,78,-3.152,AAA
EEEw21Tn9oa,0bAk6SOo,1957-04-28,-85,3.864,1960-09-13,,,iGIvlZgR,38,6.776,EEE
HHHywMlYWg4,0bb44Yi5,1980-11-24,,-6.541,2009-03-12,,,ENCnaQgu,0,0.289,HHH
EEEtXacNyL4,0bD5K8vK,1967-02-09,-5,1.571,1986-03-28,,,r31wh7kK,59,-1.246,EEE
DDDDyaIVqJJy,0Be4Bwfr,1969-07-14,20,-1.073,1963-10-10,,,nN2PfEQ9,86,9.506,DDD
DDDDpOHhBGy6,0Befs4zi,2013-06-21,99,2.501,1960-11-16,,,uHQWSbXn,-17,-7.651,DDD
FFMYfz0ZG5,0bftkAbX,2009-05-12,76,5.367,1993-11-09,,,v8qcCi4z,6,-4.138,FFM
KKZzQNCVy1,0BgJrCeB,1997-09-16,-9,3.295,1957-12-22,,,9w4mmP6t,-30,5.861,KKZ
CCo9MAMtSQ,0bgZycGP,1954-08-30,-90,6.564,1994-10-27,,,P0xzgGnL,-12,3.249,CCo
KKRUbXw9xW,0bYBl3ZB,1954-02-08,-27,-4.069,1952-12-20,,,v8vD6Wa1,33,7.971,KKR
HHH4lw7EAvv,0bkuQql5,1969-12-29,76,-3.353,2002-08-21,,,Hn0ziKZl,50,4.789,HHH
FFzqDtMi2E,0bL5E1y1,2004-06-09,-13,4.537,2014-10-05,,,qXzFIstK,24,-9.007,FFz
CC8vYiIFD6,0blAJLj4,2015-01-14,73,-0.348,2012-02-13,,,wa28wfOP,-100,-6.92,CC8
FFLE3pADej,0BlI8JAy,1959-10-28,12,-7.657,1956-05-03,,,MNVo8Nip,100,-5.256,FFL
FF2OL3kNCw,0BlO5cwQ,1984-10-19,-87,2.28,2008-09-17,,,lNtwQO7W,-69,7.505,FF2
BBB6zEBBFcQ,0bnwKzQ7,1994-05-30,52,-1.038,2014-02-19,,,p4Qm5kh7,62,-6.823,BBB
HHH1Un4JWIZ,0bq7vPts,1964-09-11,-4,-8.723,2007-04-13,,,yofFjtiM,-75,-1.612,HHH
EEEg6U32KhY,0BRNHnNI,1970-07-13,-68,3.83,1989-05-18,,,LWSkXtlk,-84,7.74,EEE
DDDDYZRpHNgq,0bsPFUYl,1997-12-21,-64,4.731,2014-08-14,,,uqyT8BCz,-17,-7.984,DDD
GGCXAb2TqS,0BTv80NA,1974-04-30,-19,8.056,1999-09-12,,,xDhgE1WK,19,-9.403,GGC
BBBLF7txhgw,0bufer14,1970-12-23,94,6.577,1976-03-02,,,VRoDSHBg,26,9.645,BBB
CCBacD4HNO,0BuWmm3w,1972-07-11,1,-2.039,1952-09-24,,,XcV3XLQA,-29,4.458,CCB
KKDUWasthr,0BVftBT8,1962-02-06,-84,,1957-07-19,,,OyuPtPDb,-52,-1.529,KKD
DDDDfQyNOCxL,0bw9SoG0,1973-03-03,48,7.823,1957-04-24,,,E838raT2,-45,-6.204,DDD
FFvC7VbsgW,0BWPjDA2,1956-09-06,27,2.815,2011-08-04,,,i2is4Dgm,95,-1.765,FFv
LLLSvGmLCaF,0bxRrBm4,1991-10-22,63,3.077,2000-01-01,,,FGST2Sa2,96,1.845,LLL
EEEavsasBmr,0bZ5xqBn,1995-10-09,17,-0.093,2004-10-13,,,9VE16pbn,82,0.647,EEE
CClDmagpwk,0C0Yb9Iz,1988-08-02,75,3.212,1963-05-28,,,NDsi9knR,33,-8.433,CCl
FFHZPFTqqc,0c0ySvcW,1965-03-15,100,-4.131,2010-07-15,,,PemVrfU6,-38,-4.375,FFH
DDDD2wRDZASj,0c2DlhD5,1999-03-20,-70,-1.195,2010-05-03,,,oJwVrprl,15,7.846,DDD
EEELmEonFPP,0c4U4NLh,1976-03-11,58,-8.752,2000-11-13,,,LPmDXfxM,-2,8.178,EEE
BBBvUosxaJm,0CauG127,2008-03-29,-77,-7.186,2007-03-17,,,RTe3nDJt,-42,9.703,BBB
CCi4bm631C,0CcENYUK,1993-12-09,-94,8.587,1967-10-18,,,PgspZzrw,-91,-9.967,CCi
EEEmSLD3JSU,0CeilRKl,2007-08-22,89,9.142,1984-04-10,,,6EJtBOJs,-28,1.911,EEE
LLLNyM9t0xI,0ciMWmUx,1996-09-27,-7,-3.543,2012-03-05,,,PlckHmJN,-65,4.255,LLL
LLLLzVkfqKa,0cKbu0Cn,1998-12-01,25,-4.283,1974-02-28,,,J0i59pLw,-7,8.348,LLL
DDDDp9rkW031,0CljaYwW,1969-12-30,-96,2.736,1981-11-24,,,2LEjQfSe,-47,1.363,DDD
EEENaoghsPZ,0CmNDXvq,2001-05-04,-74,-1.698,1996-12-10,,,ZXXoKQj2,18,-1.855,EEE
AAAUEgsbpF7,0cmrvyaq,2014-11-20,-55,-6.983,2001-04-02,,,lhHsHyCG,5,0.273,AAA
GGNxtiZsTY,0cNDOXjA,1988-04-25,-21,4.251,1977-05-22,,,pGXwuPaJ,37,5.113,GGN
KKPLM4lEx0,0CNkMvVt,1956-09-13,17,-8.438,1959-09-11,,,UWRRPSbJ,-79,-1.514,KKP
DDDDx1cqWmoU,0CojsaKu,1954-09-24,,-9.613,1955-10-28,,,WEtgfRYj,67,-9.207,DDD
AAA0mPIBmF4,0CprDDBo,1963-12-16,62,-7.722,2007-01-16,,,9CSn1hZG,11,-7.431,AAA
HHHuJOZYriX,0CRyXqql,2006-03-11,87,-0.111,1999-06-03,,,qhmqZGPJ,82,-3.789,HHH
KKqlgpfK22,0cRTKFl5,1968-11-07,19,3.857,1958-10-19,,,tPnkC9e0,95,-7.958,KKq
HHHL8Fofxk7,0cWpFtZE,1951-01-27,-7,2.92,2008-07-26,,,SHoiObsB,-76,-8.496,HHH
EEEBbMj8wli,0cwREsVo,1991-06-24,49,-0.445,1985-12-01,,,2RCsVF8b,45,-0.773,EEE
LLLiGt70ERh,0D6mOwFf,1992-11-07,22,1.685,1974-07-01,,,6jjl7I2V,65,7.098,LLL
EEExTiR233U,0DbmVUIe,1980-06-20,25,-8.858,1954-10-28,,,EHjgkDC6,1,5.849,EEE
BBBrIigc5vk,0DDFNIjh,2015-06-28,-1,-6.715,1972-04-01,,,PTjtOKbD,-76,7.419,BBB
AAAmnrMNmjf,0DFgeUp6,1984-12-12,-95,-5.721,1964-03-25,,,aQxtezBY,-35,1.721,AAA
BBBhmkK4Ruq,0DYmVzGb,1954-07-25,42,9.223,2000-02-22,,,UzZcUpSr,49,2.506,BBB
